source,target,weight
123286962,96371297,74
123286962,97339046,11
123286962,97709050,109
123286962,101322456,91
123286962,102104549,85
123286962,102327804,58
123286962,102409312,14
123286962,102884357,77
123286962,103384147,72
123286962,103800764,86
123286962,104011759,65
123286962,104033374,90
123286962,104468615,96
123286962,105046520,45
123286962,107661810,98
123286962,109507068,93
123286962,110305573,62
123286962,113807226,64
123286962,117817412,65
123286962,119207944,66
123286962,121326335,87
123286962,123842258,45
123286962,124905532,85
123286962,124922926,66
123286962,125151268,71
123286962,125494035,81
123286962,125899960,75
123286962,127436546,86
123286962,128554419,45
123286962,128938882,87
123286962,131510017,56
123286962,131526011,81
123286962,131707312,99
123286962,131962906,71
123286962,132021067,17
123286962,132068602,57
123286962,132288404,70
123286962,132973538,66
123286962,133385748,68
123286962,134011850,94
123286962,134078767,72
123286962,134292524,59
123286962,134534343,71
123286962,134688497,32
123286962,135375343,77
123286962,135396242,97
123286962,135505121,99
123286962,135551694,41
123286962,136256485,73
123286962,136332876,87
123286962,136560781,37
123286962,136864905,89
123286962,136904200,74
123286962,137328307,54
123286962,138702412,76
123286962,139234480,80
123286962,139791350,57
123286962,140105769,68
123286962,140152298,78
123286962,140256282,54
123286962,140585547,93
123286962,140647906,73
123286962,141704096,68
123286962,141775539,95
123286962,141894751,32
123286962,141975551,53
123286962,142486062,97
123286962,143734894,34
123286962,143942609,49
123286962,145542790,75
123286962,145603277,80
123286962,146593508,76
123286962,147014441,27
123286962,147400914,66
123286962,147494050,41
123286962,148147199,87
123286962,148340476,90
123286962,148901542,62
123286962,149081898,78
123286962,150368378,100
123286962,150753329,73
123286962,151122494,41
123286962,151371691,26
123286962,151712379,84
123286962,151963102,70
123286962,152076628,75
123286962,152255428,87
123286962,152325504,46
123286962,152791599,90
123286962,152992955,73
123286962,153249513,84
123286962,153477305,45
123286962,154293966,68
123286962,154584279,82
123286962,154910442,43
123286962,155265815,52
123286962,155606852,83
123286962,155725151,65
123286962,156115845,40
123286962,156899709,67
123286962,157578352,92
123286962,157911848,80
123286962,158248153,71
123286962,158508573,81
123286962,159820673,59
123286962,160083114,82
123286962,160451435,76
123286962,161152879,80
123286962,161821677,72
123286962,162058080,82
123286962,162562150,89
123286962,163083474,48
123286962,163267053,44
123286962,163768567,89
